Code,Japanese,English
CTS,札幌(千歳),Sapporo (Chitose)
RIS,利尻,Rishiri
WKJ,稚内,Wakkanai
MBE,オホーツク紋別,Okhotsk Monbetsu
MMB,女満別,Memanbetsu
AKJ,旭川,Asahikawa
SHB,根室中標津,Nemuro Nakashibetsu
KUH,釧路,Kushiro
OBO,帯広,Obihiro
HKD,函館,Hakodate
AOJ,青森,Aomori
ONJ,大館能代,Odate Noshiro
AXT,秋田,Akita
SYO,庄内,Shonai
SDJ,仙台,Sendai
FKS,福島,Fukushima
HND,東京(羽田),Tokyo (Haneda)
NRT,東京(成田),Tokyo (Narita)
HAC,八丈島,Hachijojima
FSZ,静岡,Shizuoka
NGO,名古屋(中部),Nagoya (Chubu)
KIJ,新潟,Niigata
TOY,富山,Toyama
KMQ,小松,Komatsu
NTQ,能登,Noto
*os,大阪(すべて),Osaka (All)
ITM,大阪(伊丹),Osaka (Itami)
KIX,大阪(関西),Osaka (Kansai)
UKB,大阪(神戸),Osaka (Kobe)
OKJ,岡山,Okayama
HIJ,広島,Hiroshima
IWK,岩国,Iwakuni
UBJ,山口宇部,Yamaguchi Ube
TTJ,鳥取,Tottori
YGJ,米子,Yonago
IWJ,萩・石見,Hagi Iwami
TAK,高松,Takamatsu
TKS,徳島,Tokushima
MYJ,松山,Matsuyama
KCZ,高知,Kochi
FUK,福岡,Fukuoka
KKJ,北九州,Kitakyushu
HSG,佐賀,Saga
OIT,大分,Oita
KMJ,熊本,Kumamoto
NGS,長崎,Nagasaki
TSJ,対馬,Tsushima
IKI,壱岐,Iki
FUJ,五島福江,Goto Fukue
KMI,宮崎,Miyazaki
KOJ,鹿児島,Kagoshima
OKA,沖縄(那覇),Okinawa (Naha)
MMY,宮古,Miyako
ISG,石垣,Ishigaki
OKD,札幌(丘珠),Sapporo (Okadama)
MSJ,三沢,Misawa
HNA,花巻,Hanamaki
GAJ,山形,Yamagata
IZO,出雲,Izumo
NKM,名古屋(小牧),Nagoya (Komaki)
ASJ,奄美,Amami
DNA,嘉手納,Kadena
OKO,横田,Yokota
IBR,茨城,Ibaraki
MYE,三宅島,Miyakejima
